"Number or threshold";"3D6";"1D16";"3D6 under or equal";"1D16 under or equal";"3D6 above or equal";"1D16 above or equal"
3;0.462962962963;6.25;0.462962962963;6.25;100.000000000046;100
4;1.38888888889;6.25;1.851851851853;12.5;99.537037037083;93.75
5;2.77777777778;6.25;4.629629629633;18.75;98.148148148193;87.5
6;4.62962962963;6.25;9.259259259263;25;95.370370370413;81.25
7;6.94444444444;6.25;16.203703703703;31.25;90.740740740783;75
8;9.72222222222;6.25;25.925925925923;37.5;83.796296296343;68.75
9;11.5740740741;6.25;37.500000000023;43.75;74.074074074123;62.5
10;12.5;6.25;50.000000000023;50;62.500000000023;56.25
11;12.5;6.25;62.500000000023;56.25;50.000000000023;50
12;11.5740740741;6.25;74.074074074123;62.5;37.500000000023;43.75
13;9.72222222222;6.25;83.796296296343;68.75;25.925925925923;37.5
14;6.94444444444;6.25;90.740740740783;75;16.203703703703;31.25
15;4.62962962963;6.25;95.370370370413;81.25;9.259259259263;25
16;2.77777777778;6.25;98.148148148193;87.5;4.629629629633;18.75
17;1.38888888889;6.25;99.537037037083;93.75;1.851851851853;12.5
18;0.462962962963;6.25;100.000000000046;100;0.462962962963;6.25
